"","t_stat_NTC","t_stat_SCZ","p_value_NTC","p_value_SCZ","fdr_NTC","fdr_SCZ","logFC_NTC","logFC_SCZ","ensembl","gene"
"A2M",-0.806070119343091,0.806070119343091,0.431625014358892,0.431625014358892,0.826585117950061,0.826585117950062,-0.0906334540158616,0.0906334540158617,"ENSG00000175899","A2M"
"ABCA2",0.0484989982209687,-0.0484989982209682,0.961898628355926,0.961898628355927,0.991676772350636,0.991676772350637,0.00449008922543704,-0.004490089225437,"ENSG00000107331","ABCA2"
"ABCG2",0.747871270547475,-0.747871270547477,0.465025538825948,0.465025538825947,0.830402747903479,0.830402747903476,0.112875865952092,-0.112875865952092,"ENSG00000118777","ABCG2"
"ACO1",-0.384931320370352,0.384931320370353,0.705186766121037,0.705186766121036,0.91389155485799,0.913891554857991,-0.0605735377637032,0.0605735377637032,"ENSG00000122729","ACO1"
"ACTA2",0.320252954657732,-0.320252954657733,0.752781641815368,0.752781641815368,0.921773438957594,0.921773438957594,0.0411986418646664,-0.0411986418646664,"ENSG00000107796","ACTA2"
"ACY3",1.17118756300539,-1.17118756300539,0.258098653455286,0.258098653455286,0.781915019216498,0.781915019216499,0.172593393611182,-0.172593393611182,"ENSG00000132744","ACY3"
"ADAM28",-1.08785783586978,1.08785783586978,0.292236363971311,0.29223636397131,0.800139615780116,0.800139615780117,-0.196256041706112,0.196256041706113,"ENSG00000042980","ADAM28"
"ADCYAP1",1.32582889738084,-1.32582889738084,0.202893566202965,0.202893566202965,0.749216482183815,0.749216482183814,0.211401647512391,-0.211401647512391,"ENSG00000141433","ADCYAP1"
"ADCYAP1R1",-2.50798272257962,2.50798272257962,0.022880230063001,0.0228802300630009,0.416706973730861,0.416706973730862,-0.200319320046867,0.200319320046868,"ENSG00000078549","ADCYAP1R1"
"ADIRF",-1.66212538130728,1.66212538130728,0.115295941110142,0.115295941110143,0.678211418294955,0.678211418294957,-0.226744267524757,0.226744267524757,"ENSG00000148671","ADIRF"
